,job_title,company_name,summary
0,summer intern data science engineering,hsbc bank canada,building changing predictive analytical solutions big data pipelines data science machine learning curious
1,student intern,skyworks,strong data analysis skill support pes customer rma testing data crunching intern electrical engineer network telecom entry level
2,data scientist intern,geotab,data scientist intern work alongside team fellow data scientists geotab s data analytics team ready challenge
3,data engineer omnia ai co op intern winter multiple locations,deloitte,fascinated data structures data models data patterns interested wrangling joining melting data sets create foundation
4,data science intern winter toronto,intact,currently looking interns data lab r&d department transform complex data sets meaningful conclusions recommendation
5,data insight specialist co op intern,general motors,data insight specialist assist warranty field action technical services departments identifying key trends data insights
6,data analyst intern,upfeat media inc.,looking data analyst intern join rapidly expanding team using provided tools perform research analyse data sets
7,intern data science,rs energy group,analyze interpret heterogeneous data troubleshoot errors data science models data science team
8,instructional writer data science intern,geotab,geotab seeking intern immediately contribute organization data analytics team efforts ready challenge
9,op intern photonics networking,ciena,autonomous photonic networks team responsible defining novel disruptive photonics architectures control systems
10,applied research lab intern,ch four biogas inc.,perform sample analysis collect data currently looking intern role r&d team ch biogas projects related
11,business support intern data analytics,geotab,geotab actively seeking business support intern data analytics department support business objectives related solutions deployed
12,analyst strategic operational risk winter intern co op multiple locations,deloitte,advisory service line helps organizations transform ways leverage people relationships technology data business processes
13,associate consultant intern data services university program summer,mastercard,associate consultant intern data services university program summer ac intern make impact associate consultant intern
14,student intern customer data analyst,celestica,product data management global business services communicate external customers resolve missing and or inaccurate data
15,research intern toronto waterloo,google,creating experiments prototyping implementations designing new architectures research interns software engineers work challenges
16,data scientist internship opportunities,nestlé canada inc.,data scientist intern explore data answering questions finding new business opportunities data enthusiast sep pm
17,op intern data analytics,ciena,data modeling data structures algorithms plus experience data sciences machine learning plus good knowledge telecommunication network
18,analytics data science co op intern,td bank,office chief data officer experience data management analytics project management plus explain winning candidate
19,brand management summer intern,procter and gamble,additionally use historical data intern big day brand intern multiple make great fit
20,accountant intern,rdm disposal inc.,compile data compute charges prepare invoices file orders invoices rdm disposal boutique family owned operated waste
21,summer intern data science engineering,hsbc bank canada,building changing predictive analytical solutions big data pipelines data science machine learning
22,student intern,skyworks,strong data analysis skill support pes customer rma testing data crunching addition chance support customer rma
