,job_title,company_name,location,summary,salary
1,User Interface (UI) Design Intern – Stagiaire en Conception d’Interface Usager,Nuance,"Montréal, QC","As an Intern, you will help the designers create speech-enabled user experiences. Nuance welcomes about 150 interns each year and the Montreal Internship…",Nothing_found
2,Software Tester (5620 SAM) Co-op,NOKIA,"Ottawa, ON",Software Tester (5620 SAM) Summer co op: The Network Management Business Unit in Nokia's IP Division is recruiting highly motivated Software Testers.,Nothing_found
3,CO OP/Intern: Blue Planet Analytics,Ciena,"Ottawa, ON",Work with a fast-paced team to build leading edge Network Management software • Follow an Agile software development process to ensure high quality and quick…,Nothing_found
4,CO OP/Intern: Blue Planet Network Management,Ciena,"Ottawa, ON",Work with a fast-paced team of developers to build leading edge client/server software • Follow an Agile software development process to ensure high quality and…,Nothing_found
5,"Intern - Software Developer, MS IT (16 month contract)",Ontario Teachers' Pension Plan,"Toronto, ON",As a 16-month Intern you’ll be working with a product team for the first 8 months where you’ll learn the essential technical and collaboration skills to allow…,Nothing_found
6,Software Test Intern - Montreal R&D Center - Hikvision Canada,Hikvision USA Inc.,"Saint-Laurent, QC","Working side-by-side with our team of solution specialists, project managers, developers, and testers, you will learn to assess feature specifications and…",Nothing_found
7,Software Test Intern - Montreal R&D Center,Hikvision Canada Inc.,"Saint-Laurent, QC","Working side-by-side with our team of solution specialists, project managers, developers, and testers, you will learn to assess feature specifications and…",Nothing_found
8,CO OP/Intern: Data Analytics,Ciena,"Montréal, QC",Aider l’ingénieur(e) principal(e) en analyse de données à coder et tester des algorithmes. Ciena may well be the most important technology company you’ve never…,Nothing_found
9,Tester/QA Co-op (8 month),TD Bank,"Toronto, ON","Explain why you're a winning candidate. Think ""TD"" if you crave meaningful work and embrace change like we do. Carve out a career for yourself.",Nothing_found
10,Software Test Intern - Montreal R&D Center - Hikvision Canada,HIKVISION,"Saint-Laurent, QC","Working side-by-side with our team of solution specialists, project managers, developers, and testers, you will learn to assess feature specifications and…",Nothing_found
11,CO OP/Intern:Photonic Systems Test Engineer,Ciena,"Quebec City, QC","L’équipe de Tests et Mesures est responsable de tester les prototypes, de concevoir des stations automatisées de test et de l’analyse des données.",Nothing_found
12,Intern - eCommerce Java Software Developer,SAP,"Montréal, QC","Collaborating with developers, testers and other team members. The intern will primarily be responsible for Ecommerce application software development based on…",Nothing_found
13,SOFTWARE TEST ENGINEER,Ultimate Software,"Toronto, ON",Help mentor and train other STEs and interns. You’ll be working side by side with the teams Developers and other Testers to validate application quality.,Nothing_found
14,SOFTWARE TEST ENGINEER,"The Ultimate Software Group of Canada, I","Toronto, ON",Help mentor and train other STEs and interns. You’ll be working side by side with the teams Developers and other Testers to validate application quality.,Nothing_found
15,User Interface (UI) Design Intern – Stagiaire en Conception d’Interface Usager,Nuance,"Montréal, QC","As an Intern, you will help the designers create speech-enabled user experiences. Nuance welcomes about 150 interns each year and the Montreal Internship…",Nothing_found
16,Software Tester (5620 SAM) Co-op,NOKIA,"Ottawa, ON",Software Tester (5620 SAM) Summer co op: The Network Management Business Unit in Nokia's IP Division is recruiting highly motivated Software Testers.,Nothing_found
17,CO OP/Intern: Blue Planet Analytics,Ciena,"Ottawa, ON",Work with a fast-paced team to build leading edge Network Management software • Follow an Agile software development process to ensure high quality and quick…,Nothing_found
18,CO OP/Intern: Blue Planet Network Management,Ciena,"Ottawa, ON",Work with a fast-paced team of developers to build leading edge client/server software • Follow an Agile software development process to ensure high quality and…,Nothing_found
19,"Intern - Software Developer, MS IT (16 month contract)",Ontario Teachers' Pension Plan,"Toronto, ON",As a 16-month Intern you’ll be working with a product team for the first 8 months where you’ll learn the essential technical and collaboration skills to allow…,Nothing_found
20,Software Test Intern - Montreal R&D Center - Hikvision Canada,Hikvision USA Inc.,"Saint-Laurent, QC","Working side-by-side with our team of solution specialists, project managers, developers, and testers, you will learn to assess feature specifications and…",Nothing_found
21,Software Test Intern - Montreal R&D Center,Hikvision Canada Inc.,"Saint-Laurent, QC","Working side-by-side with our team of solution specialists, project managers, developers, and testers, you will learn to assess feature specifications and…",Nothing_found
22,CO OP/Intern: Data Analytics,Ciena,"Montréal, QC",Aider l’ingénieur(e) principal(e) en analyse de données à coder et tester des algorithmes. Ciena may well be the most important technology company you’ve never…,Nothing_found
23,Tester/QA Co-op (8 month),TD Bank,"Toronto, ON","Explain why you're a winning candidate. Think ""TD"" if you crave meaningful work and embrace change like we do. Carve out a career for yourself.",Nothing_found
24,Software Test Intern - Montreal R&D Center - Hikvision Canada,HIKVISION,"Saint-Laurent, QC","Working side-by-side with our team of solution specialists, project managers, developers, and testers, you will learn to assess feature specifications and…",Nothing_found
25,CO OP/Intern:Photonic Systems Test Engineer,Ciena,"Quebec City, QC","L’équipe de Tests et Mesures est responsable de tester les prototypes, de concevoir des stations automatisées de test et de l’analyse des données.",Nothing_found
26,Intern - eCommerce Java Software Developer,SAP,"Montréal, QC","Collaborating with developers, testers and other team members. The intern will primarily be responsible for Ecommerce application software development based on…",Nothing_found
27,SOFTWARE TEST ENGINEER,Ultimate Software,"Toronto, ON",Help mentor and train other STEs and interns. You’ll be working side by side with the teams Developers and other Testers to validate application quality.,Nothing_found
28,SOFTWARE TEST ENGINEER,"The Ultimate Software Group of Canada, I","Toronto, ON",Help mentor and train other STEs and interns. You’ll be working side by side with the teams Developers and other Testers to validate application quality.,Nothing_found
29,Software Tester (5620 SAM) Co-op,NOKIA,"Ottawa, ON",Software Tester (5620 SAM) Summer co op: The Network Management Business Unit in Nokia's IP Division is recruiting highly motivated Software Testers.,Nothing_found
